# Current schema exact catalog; PostgreSQL 17.11, task-owned PER-330 database.
# source|postgres_catalog.sql|f6b876b0e379081adf25a89165eac7a57f1e596fc369abbbc34807d6268a6c22
# source|current_schema.sql|a100aba450eda3c76965a468e0f97626a71b6f87f94b9c13fc2ad1190539d96c
# source|current_archive.sql|b93ab30195b52e39f82a17b862deba516e097f0723c9d5d5d4c83f0d31c5448b
# source|current_views.sql|f380a36d7fb83122fba0937857596fe92714038f6a0c3fdf6b058e285b52cd9d
# configuration|current_schema_reader_observer
# format|kind|schema|name|sha256
view|public|v_observer_organization_territory_v1|3289607c23ff507e5ee069d6314954738850fb218defa4eaf1c24c609289cddf
view|public|v_observer_territory_state_field_v1|dc9b1a6ce82e8df460d1ac5f7d6de81b7338b20c36374fa4815a9dfc9e425692
view|public|v_observer_territory_state_v1|c917ab0143475c5017e260321f62fcc27d7a06091da9900a6f90766b6eced68b
view|public|v_observer_tick_action_batch_v1|8ebb1ccf8d997c24d56143a515f8cb227f3c85eed2e3dab63908f5715a9a1ddb
view|public|v_observer_tick_choice_receipt_branch_v1|e052e9c948fdcd57b8aa856a0bbbf307900c110fc667a45d97a46aca94a2da70
view|public|v_observer_tick_choice_receipt_carrier_element_v1|712d00b1cfd35786f5dba7030a19918b20db12a3ec187ded78aba77be72cc803
view|public|v_observer_tick_choice_receipt_v1|753be961871ff43b87be940b190d69ab0539453e32274ab5c858b193a1309107
view|public|v_observer_tick_event_field_v2|4a718de74e1f5eecc65c3eb31755c262c1e6db70702c60625f33de87f465cf61
view|public|v_observer_tick_event_v2|fbeaa1c62649dbb2719267375fe18e75baa877b1d587afe61879085659f2315e
view|public|v_observer_world_register_v1|db353d033dcbac67af4d0c577d9fe552336448a8e10a79cb559fc8dd4ed6cda2
